Instance_ID,Num_Vertices,Num_Edges,Hamiltonian_Path,Hamiltonian_Cycle,Largest_Cycle_Size,Algorithm,Time
1,6,10,"[1, 2, 5, 3, 4, 6]","[1, 2, 5, 3, 4, 6, 1]",6,0.000014
2,6,8,"[6, 1, 3, 5, 4, 2]",None,4,0.000138
3,6,8,"[6, 3, 4, 2, 1, 5]",None,5,0.000158
4,4,5,"[1, 2, 3, 4]","[1, 2, 3, 4, 1]",4,0.000004
5,6,10,"[1, 5, 3, 2, 4, 6]","[1, 5, 3, 2, 4, 6, 1]",6,0.000006
6,5,4,None,None,0,0.000013
